,CD161int 1,CD161neg 2,CD161hi 1,CD161neg 1,CD161hiCD56pos 3,CD161hi 3,CD161hi 2,CD161int 3,CD161hiCD56pos 2,CD161neg 3,CD161hiCD56pos 1,CD161int 2
100616196,0,0,0,0,0,0,0,0,0,0,0,0
105376791,0,1,0,0,0,0,0,0,0,0,0,0
79672,160,0,0,6,246,176,198,43,69,99,376,15
64122,0,0,0,7,0,1,1,0,0,0,0,0
6904,128,1,152,170,67,421,73,209,63,293,137,103
79755,0,0,0,0,0,0,0,0,0,0,0,0
105371944,0,0,0,0,0,0,0,0,0,1,0,0
146712,49,63,77,48,297,146,206,1,219,389,137,355
284207,95,374,252,305,684,547,1232,405,1462,890,671,789
388574,94,111,13,69,121,86,93,113,260,135,243,105
727758,555,286,376,431,535,1047,592,461,607,715,542,416
102466878,1,3,0,7,4,6,0,1,0,1,1,0
9097,3497,1733,1592,2691,1808,4311,1555,1397,2380,4082,1860,2361
9984,1436,1625,1792,2505,2589,3722,1729,1664,1999,5577,1441,2880
81035,0,0,0,3,2,1,0,1,1,0,0,1
105376854,1,0,0,0,0,4,0,0,0,1,4,1
1068,1,0,0,0,0,0,0,1,0,0,0,0
27098,3,4,0,7,0,2,0,0,3,3,0,3
494514,3,0,0,58,0,23,0,45,0,0,0,1
7298,3,0,3,0,23,7,0,5,0,17,0,0
55556,402,452,214,698,377,240,781,612,794,616,141,861
7525,434,838,410,1777,251,1275,705,762,516,1887,1227,484
116,5,0,0,0,5,4,0,1,0,2,0,0
388456,0,0,0,0,0,0,0,0,0,0,0,0
56651,2,1,2,2,0,4,2,1,2,1,1,0
101926997,0,2,0,0,1,2,0,0,1,0,1,1
64863,370,777,287,1078,399,686,311,368,852,1056,373,425
10403,1065,287,355,832,81,1426,141,168,102,1660,158,57
645158,2,109,0,23,0,25,77,206,2,215,106,66
23347,9252,7669,8036,15157,2967,11737,12036,10731,7456,30695,3597,7776
84034,101,106,123,255,131,156,63,207,0,238,0,333
9663,2201,779,1547,1474,1679,2346,1874,1835,2961,1586,2420,1561
727896,883,784,712,731,863,906,1069,480,1815,1542,553,1082
8736,8,0,2,8,3,10,3,6,4,3,3,5
10627,40786,16464,20405,25510,51563,62529,20079,31706,46131,53984,43030,25290
104968399,18,46,120,0,0,199,16,8,102,150,152,142
103910,25935,9820,13492,20643,25655,36100,17090,20819,28534,45416,21858,15692
7050,1177,1631,1489,1982,1958,2437,2344,2632,2996,5930,2443,652
100505592,416,43,1,0,179,0,120,94,196,194,0,0
9229,3,3,2,3,7,5,0,3,3,2,23,21
649446,1505,236,404,323,1151,1745,912,777,907,1404,1630,605
84777,82,41,83,4,47,65,61,130,407,9,96,92
201477,0,2,0,2,0,0,0,0,0,2,0,3
102465430,0,0,0,0,0,0,0,0,0,0,1,0
101410534,0,2,1,0,1,1,0,1,0,0,3,0
284215,2,0,1,0,0,0,1,2,5,0,3,0
105372013,0,0,0,0,0,0,0,0,2,1,0,1
642597,1,0,2,2,0,2,0,1,0,0,0,0
147525,1,176,45,0,124,0,215,132,105,0,0,199
339290,36,47,89,176,406,161,242,190,1146,175,39,191
7541,10,0,15,117,132,110,128,264,270,98,396,0
23136,3,3,1,154,1,12,1,4,5,1,5,2
105372014,0,0,0,0,0,0,0,0,0,0,0,0
645355,0,1,0,1,0,0,0,0,1,0,0,0
100616244,0,0,0,0,0,0,0,0,0,0,0,0
645369,1,0,0,2,0,2,0,0,1,1,1,2
91133,2,2,0,1,4,9,4,6,63,10,2,7
101927150,1,0,0,0,0,1,0,0,0,0,2,2
100422840,0,0,0,0,0,0,0,0,0,0,0,0
105372015,0,0,0,0,0,0,0,0,0,7,0,0
100130480,0,0,0,5,0,4,0,0,0,0,0,0
79822,5,5,2,4,3,4,7,7,3,0,10,3
400643,2,1,1,0,0,3,2,1,0,0,1,0
284217,7,7,0,3,3,2,1,8,3,7,5,5
101927188,0,0,0,0,0,5,0,0,0,0,0,0
339291,0,0,0,0,0,0,0,0,0,0,0,1
5797,130,125,280,149,191,136,476,543,604,501,308,655
100192426,0,0,0,0,0,0,0,0,0,0,0,0
201475,179,114,233,240,328,163,176,164,197,462,155,80
100287082,0,0,0,0,0,0,0,0,0,0,0,0
23255,0,1,0,0,1,0,0,10,3,115,147,2
4729,34040,9292,13604,25342,14998,31591,10842,27147,11752,40038,10273,12889
101927275,843,275,143,468,750,594,491,335,459,1294,217,496
23253,32228,16982,18472,31594,12944,29302,19244,25179,14865,41761,15716,22329
102724383,55,2,78,190,6,37,116,19,14,240,5,35
57045,384,228,155,644,588,509,275,400,812,1103,168,323
10928,1052,701,395,823,921,1835,721,664,1256,1240,980,870
9989,803,72,166,223,392,429,366,292,595,835,780,100
101927323,60,3,0,0,8,21,0,0,0,0,0,0
11031,7,9,0,2,3,3,1,1,3,0,19,0
84203,0,0,0,0,0,0,0,0,0,2,0,0
9218,6386,5095,3496,6186,4499,7087,6286,6921,7038,12112,4523,5399
101927350,0,0,0,0,0,0,0,0,0,0,0,0
147495,1,0,1,2,2,5,0,2,2,4,0,1
8774,2331,1343,830,2213,1184,3766,1947,1772,3111,2655,1761,1182
101927376,0,0,0,0,0,1,0,0,0,0,0,1
101927410,2,0,1,0,0,0,0,2,2,0,0,0
63895,14,2,5,6,16,5,7,4,5,7,5,2
102466735,0,0,0,0,0,0,0,0,0,0,0,0
101927433,0,1,2,0,0,2,0,0,0,0,0,0
646000,0,0,0,0,1,0,2,0,0,1,0,0
105376851,84,28,30,44,33,17,86,12,43,87,2,70
102465690,0,0,0,0,0,0,0,0,0,0,0,0
2774,3,0,6,2,0,3,31,3,0,94,12,8
57132,7192,5328,9714,12402,8730,9191,16805,11187,18998,24901,5521,9397
65258,399,197,496,392,439,473,279,614,535,450,616,83
3613,0,0,49,0,1,0,4,0,13,0,0,1
342850,6,4,10,9,2,5,1,2,2,6,6,14
497259,3,1,2,1,4,2,0,0,2,2,1,4
1149,0,1,0,0,0,1,0,0,0,0,1,0
84617,46,0,4,1,0,2,2,2,10,5,3,0
10939,407,328,316,756,315,565,346,260,435,641,333,569
10650,1,15,0,1,0,0,0,0,0,0,1,0
105376855,0,0,0,4,5,0,0,0,0,0,0,0
56907,5,3,2,0,4,1,59,6,205,1,39,3
56984,3782,1373,978,1986,3142,2328,2024,2528,3501,5504,3179,2335
79959,127,339,89,340,247,185,738,460,233,308,493,6
100996324,31,0,89,88,8,101,408,5,120,182,82,71
5771,5751,3439,2562,5400,2598,5788,3030,3644,5265,7913,4288,3904
81929,359,114,360,105,292,69,408,271,267,623,748,225
55125,252,343,350,242,224,714,138,30,643,213,744,606
753,3250,908,2742,2514,3601,5708,3481,3074,5204,6322,3300,2349
100288122,43,1,45,29,0,1,169,11,0,71,11,196
100847080,25,0,0,2,0,0,2,28,0,0,0,0
100616130,0,0,0,0,1,0,0,0,0,0,0,0
125228,643,311,1036,876,281,1015,676,471,1085,1836,871,537
8731,13487,7782,5502,11235,8747,15778,7393,8094,12937,15829,7776,9173
4161,3,0,0,3,0,0,3,0,1,3,0,0
4158,0,0,0,3,0,0,0,0,3,0,0,0
162655,164,254,0,135,60,40,25,245,116,130,35,99
440482,20,169,15,32,1,62,32,75,5,256,15,16
284233,3,0,1,0,0,1,3,101,0,12,0,0
440224,0,0,1,10,0,6,5,3,16,14,4,0
388468,11,2,4,5,3,22,2,9,3,2,6,5
374860,5,5,7,1,2,12,7,2,6,9,33,10
100422907,0,0,0,0,0,0,0,0,0,0,0,0
400644,1,1,4,2,2,0,2,0,2,3,0,2
101927642,0,0,0,0,0,0,0,3,0,0,0,0
644669,6,4,0,1,2,4,4,0,5,0,2,3
6093,2505,610,1446,2310,1692,2671,2523,1472,2018,2230,2606,2128
80000,13,8,89,199,53,31,210,13,55,313,6,5
114799,4547,2969,2706,4441,1971,4792,3044,3734,3083,4505,3683,2564
6632,11045,4471,4402,8180,9427,13373,6162,6052,9244,11158,8176,5746
171586,634,200,558,430,389,267,811,386,382,1529,535,174
100302135,0,0,0,0,0,0,6,0,0,0,0,0
57534,303,173,320,295,604,371,484,307,196,468,375,61
102723167,1,41,36,9,26,116,100,2,17,74,12,6
406922,0,0,0,0,0,0,0,0,0,0,0,0
406905,0,0,0,0,0,0,0,0,0,0,0,0
100128893,0,0,0,0,0,0,0,0,0,0,0,0
2627,1,236,0,161,1,18,4,0,2,8,0,0
64693,321,166,112,275,156,378,226,88,261,110,369,165
101927571,0,0,0,0,0,0,0,0,0,0,1,0
5932,1082,350,1043,575,2082,1491,754,1098,1687,1435,2823,772
100616139,0,0,0,0,0,0,0,0,0,0,0,0
105372022,2,0,0,0,0,0,0,1,0,0,1,0
91768,10,1,0,1,29,0,0,0,21,0,2,0
85019,4,4,2,5,5,4,0,26,0,0,12,1
8780,1552,832,1408,2237,1374,1449,2141,1371,1292,2119,1205,1095
29919,535,424,195,980,379,494,681,1255,867,1128,347,106
4864,249,567,578,946,332,815,479,396,747,1030,642,654
147463,1,1,2,4,5,1,0,0,0,2,4,1
3909,13,5,2,6,11,5,32,0,12,6,4,11
125488,5708,2298,6448,3771,9925,15065,5891,5991,11033,9115,8402,3897
102724246,729,218,1241,687,1213,2678,1289,895,1498,825,2001,1251
26256,14,0,18,0,31,23,79,19,11,4,52,11
114876,5,1,52,2,2,56,41,44,20,18,6,4
100302195,0,0,0,0,0,0,0,0,0,0,0,0
55364,211,170,141,386,287,152,401,238,212,28,255,136
59340,56,0,2,3,2,5,0,3,5,0,1,3
729950,4,0,0,0,0,0,0,2,4,4,0,1
25925,1,0,0,0,1,6,1,2,1,0,7,2
6760,1021,395,594,1424,280,479,974,585,336,2456,422,282
143471,0,5,0,159,0,0,112,0,32,1,4,21
6875,490,803,438,2268,484,851,855,881,808,2294,606,411
100506787,0,0,12,0,0,0,0,1,2,0,1,0
284252,3,1,1,41,3,2,24,28,19,54,2,0
102466874,0,0,0,0,0,0,0,0,0,1,0,0
728606,2,0,0,3,0,1,1,0,5,0,0,2
361,0,0,5,1,2,2,0,1,0,1,2,1
147429,1,2,2,0,3,4,2,2,4,5,2,6
83539,2,0,2,0,6,3,3,1,3,4,2,1
1000,4,2,0,4,12,5,4,3,2,1,8,0
100302131,0,0,0,0,0,0,0,0,0,0,0,0
1825,1,2,1,4,1,4,2,3,3,6,6,3
1824,11,4,2,5,0,11,1,2,4,6,7,5
101927698,0,0,0,0,0,0,0,0,0,0,0,0
1823,8,9,1,85,3,8,0,6,1,217,4,4
1828,7,0,2,6,8,4,0,3,10,9,1,7
101927718,0,0,0,0,0,0,0,0,0,0,0,1
147409,3,2,3,9,4,5,0,3,2,1,1,8
1830,6,3,2,1,2,12,2,0,4,1,4,1
1829,3,5,4,6,3,1,1,2,7,5,2,2
100652770,4,0,0,0,1,2,3,3,1,0,6,1
7276,0,3,0,2,2,0,0,1,0,7,2,2
9331,1,1,0,2,0,5,5,1,10,2,5,9
147407,62,30,44,41,102,50,31,42,47,149,138,12
22878,757,79,539,404,403,1089,993,271,1405,838,36,535
54941,3275,3412,4408,3750,3704,7258,4398,4713,4637,8779,4589,2775
51444,3239,1678,1634,3121,1821,2090,2835,1956,3321,6198,932,1719
4225,3,2,0,0,4,0,0,1,1,5,4,2
64762,5,7,1,4,4,9,12,3,0,32,8,1
441818,302,244,228,386,254,370,295,286,507,694,341,360
57565,1,0,2,2,1,10,2,1,2,3,3,1
374864,3,2,0,10,1,5,2,8,14,2,15,4
80816,17,2,3,6,0,12,11,0,5,7,14,8
8715,4,1,0,2,2,3,6,0,0,1,9,0
1837,8,8,2,12,16,14,7,9,4,10,8,6
10982,3094,4670,4876,5802,4390,5509,6556,5330,6595,11461,3703,3953
84307,304,297,258,442,378,671,750,253,1014,558,694,626
100101467,28,66,23,25,1,26,41,2,105,27,9,3
10778,2064,1587,843,2180,2718,2962,1574,1322,3037,3432,2017,1703
7572,1528,807,1093,1975,998,3270,2295,1069,2875,2019,1675,1825
252884,3,3,0,0,13,6,12,0,0,3,4,4
125476,936,909,809,1055,584,1549,1254,1435,923,2169,512,1195
100616257,0,0,0,0,0,0,0,0,0,0,0,0
2589,1028,273,954,1617,981,1336,1446,857,2556,1057,782,469
406963,0,0,0,0,0,0,0,0,0,0,0,0
100500864,0,0,0,0,0,0,0,0,0,0,0,0
83608,1334,527,410,1225,1929,1165,943,1103,1406,2105,833,1034
55197,407,65,252,297,223,97,114,124,757,90,372,60
25800,1059,494,586,966,442,979,961,287,739,1337,378,543
55250,1308,611,2048,2570,1439,1967,1164,1301,1451,3435,1504,1730
55034,3,0,1,1,0,1,0,5,0,1,4,0
80206,3,1,4,1,1,4,17,1,1,14,3,0
25941,332,216,536,269,831,506,287,357,213,640,513,97
57536,1026,146,565,400,349,1622,868,619,830,818,471,800
56853,2,0,0,10,8,5,0,19,0,24,8,5
100422857,0,0,0,0,0,0,0,2,0,0,0,0
102724417,0,0,0,0,0,0,0,0,0,0,0,0
647946,4,0,0,1,2,0,0,0,0,1,0,0
100126323,0,0,0,0,0,0,0,0,0,0,0,0
100846997,0,0,0,0,0,0,0,0,0,0,0,0
100847025,0,0,0,0,0,0,0,0,0,0,0,0
101927900,1,0,0,1,0,1,0,0,2,2,1,0
641516,2,2,0,3,2,6,1,0,0,2,0,1
5289,1536,1297,877,844,593,1637,2082,1223,1325,2433,684,1568
284260,14,4,13,5,23,15,9,5,27,10,14,4
6014,2,5,1,2,0,1,0,0,2,0,1,1
6860,2,1,0,25,0,5,1,0,0,3,0,0
101927921,1,0,0,1,0,1,0,0,2,1,0,4
26040,4,1,0,6,7,2,2,1,1,7,3,3
100422829,0,0,0,0,0,0,0,0,0,0,0,0
8170,2,4,1,0,1,3,1,0,32,1,3,1
101927980,0,2,1,0,1,5,1,0,1,1,0,1
6563,4,6,9,0,0,3,39,94,35,19,67,65
57724,236,292,440,472,515,848,1270,249,972,757,598,758
284266,0,0,0,0,0,0,0,0,0,0,0,0
9050,26,26,204,260,163,163,193,157,321,194,300,252
498,2060,529,2016,2138,2001,2912,2504,1815,2043,3944,989,1265
100188995,0,0,0,0,0,3,0,0,0,0,0,0
115106,2217,603,496,703,729,916,951,881,774,2335,781,1170
147339,625,259,520,1198,655,623,401,1083,876,1210,629,374
494470,1,0,0,8,2,1,0,0,118,1,1,0
125336,0,2,0,3,0,1,10,0,0,1,2,0
29906,0,1,0,0,0,1,0,0,0,0,0,0
9063,405,335,513,633,509,888,367,466,275,502,324,695
83473,5,1,9,3,3,5,28,2,7,1,8,2
100506888,0,1,0,0,0,0,0,0,0,2,3,0
728929,0,1,0,0,0,0,0,0,0,2,0,0
101930171,0,1,0,0,4,3,0,0,1,4,3,0
162699,0,1,0,0,0,0,0,0,0,2,3,0
51224,0,1,0,0,0,0,0,0,0,0,1,2
84064,339,152,160,308,187,167,17,380,168,1096,82,503
51124,4452,1139,2671,2725,2715,7198,1714,3065,3774,5785,3903,1691
652991,0,0,2,1,0,3,0,0,4,0,0,0
100616264,0,0,0,0,0,0,0,0,0,0,0,0
4087,1086,835,814,1845,1345,1488,1586,1052,1080,1166,1313,687
201501,0,1,1,0,3,0,1,0,1,0,1,1
9811,2,2,0,0,0,0,0,0,0,2,10,0
100616366,0,0,0,0,0,0,0,0,0,0,0,0
4092,338,338,1134,650,1380,901,1652,358,1285,909,1459,309
105372109,0,0,0,1,0,0,0,0,0,0,0,0
54808,392,211,370,266,342,420,490,231,53,597,523,300
100616420,0,0,0,0,0,0,0,0,0,0,0,0
100526842,0,0,0,0,0,0,0,0,0,0,0,0
497661,495,222,267,276,380,540,340,352,371,615,487,208
100302257,0,0,0,0,0,9,8,9,0,0,0,0
6139,508,391,576,578,475,673,623,393,696,985,497,382
100124516,22,73,34,41,10,0,56,11,0,53,28,11
26791,4,27,0,0,0,17,0,29,31,25,0,26
26790,0,0,0,0,0,0,0,0,0,0,0,0
9388,6,1,1,0,1,8,0,2,0,0,2,0
10449,597,93,921,713,989,1368,477,635,961,1054,1516,302
677769,1262,743,1527,1742,1458,2716,1387,638,1811,2059,1665,911
103091864,0,0,0,0,0,0,0,0,0,0,0,0
4645,10,0,5,12,2,4,4,3,7,1,40,0
100422865,0,0,0,0,0,0,0,0,0,0,0,0
220136,3,3,0,0,0,2,34,0,17,0,5,0
4152,227,208,117,95,379,324,866,316,562,1069,291,157
30827,250,15,47,115,15,78,162,246,21,30,213,128
220134,3,1,11,2,3,3,47,0,1,0,0,3
5596,0,0,0,0,1,0,0,0,4,2,2,1
83876,12,2,1,3,0,4,8,3,0,2,7,6
4200,130,674,487,543,301,369,435,371,890,497,703,640
55520,154,33,5,109,37,155,20,110,223,304,18,7
4089,769,333,833,1521,796,908,1024,444,1525,1271,631,203
51320,1011,141,321,330,654,557,512,274,608,359,403,312
100287225,7,1,1,2,0,6,0,0,4,3,4,12
1630,5,4,11,17,6,7,3,5,2,3,9,8
100616232,0,0,0,0,0,0,0,1,0,2,0,0
102724651,0,0,0,1,0,3,0,1,1,0,1,0
101928167,0,0,0,0,0,6,0,0,1,0,1,0
8932,1196,491,1036,1080,672,1094,1072,475,1003,1062,814,827
677819,0,0,2,0,0,0,16,0,1,0,0,0
11201,308,875,412,858,320,1880,306,148,2197,797,351,933
147323,20,0,0,3,0,51,7,0,0,0,0,2
162681,126,1,168,7,0,18,7,3,55,7,79,16
284254,1,5,7,0,2,3,2,0,1,5,7,1
5874,82,29,250,131,291,473,146,208,3,31,16,303
80323,4,5,1,6,0,1,2,0,0,1,8,1
101927229,0,0,0,0,0,0,0,2,1,0,2,1
6925,47,8,4,161,11,15,7,0,6,44,5,21
100616290,0,0,0,0,0,1,0,0,0,0,0,0
101927273,2,0,3,8,1,1,5,1,4,1,1,2
100505474,0,2,0,4,0,2,1,0,3,1,2,0
9352,3596,1084,2659,2982,3028,5739,3537,3689,5560,5871,3567,3815
23335,589,247,774,1458,1123,23,812,352,147,574,652,868
100885779,2,2,0,2,0,1,3,0,0,2,0,0
284257,1,2,0,3,1,1,1,2,0,0,0,0
51046,3,0,7,5,5,7,0,1,0,2,1,12
9480,17,1,2,25,2,8,5,1,7,9,13,7
2235,34,53,49,19,137,23,351,17,11,197,125,14
4677,3598,1588,1279,3335,2839,3535,2571,1982,2455,4713,1923,1240
100505549,79,0,15,0,54,79,44,79,86,31,93,72
5205,11,1,26,5,117,8,0,5,92,21,163,11
23327,7,29,42,5,308,122,13,127,4,286,273,7
406906,0,0,0,0,0,0,0,0,0,0,0,0
100616357,0,0,0,0,0,0,0,0,0,0,0,0
115701,52,78,29,0,0,55,43,43,393,1,4,0
101927322,0,0,114,0,144,0,0,0,0,0,0,17
10892,2533,1030,1842,2947,3721,2580,3483,2321,3590,4280,2748,1746
55205,88,5,29,218,244,2,74,1,212,83,26,7
390858,0,0,1,0,0,0,0,0,0,0,3,0
90701,4536,2513,3050,4127,3882,3513,4344,5879,4978,7327,3637,1914
2922,3,0,0,0,0,0,0,0,0,0,3,2
30062,0,0,0,0,1,0,0,0,0,0,0,0
339302,1,0,0,0,0,2,0,0,0,0,0,0
3998,775,407,710,387,1203,531,956,1162,1664,1291,1387,534
147372,3,2,1,1,3,8,1,1,6,6,4,3
5366,9000,6574,10042,14209,14237,9946,16484,10559,19448,20982,14221,7296
4160,0,0,0,0,0,0,0,0,2,0,0,1
28316,9,14,51,47,3,10,1,13,4,0,16,6
100996669,0,0,0,1,0,1,0,0,1,0,0,0
220441,25,22,82,32,45,16,15,18,8,40,39,7
23556,223,165,122,354,512,155,83,443,1367,920,480,843
57614,983,466,337,753,1158,973,1098,438,931,329,428,820
8792,1,0,2,8,0,3,2,0,1,0,6,3
54877,74,112,564,362,242,85,288,148,482,598,114,634
23239,12,152,4,8,5,112,3,104,1,128,3,2
596,1276,952,1932,1788,1189,1743,714,1372,737,2270,1594,695
2531,280,391,452,1316,291,673,1064,823,514,921,696,771
9525,3103,2484,2308,3168,1910,5330,2845,2870,2488,5823,4298,2301
5268,2,2,1,1,0,4,0,1,4,0,0,3
89777,2,4,1,3,0,1,2,0,0,0,2,5
5275,2,2,3,1,3,4,0,1,1,3,2,1
6318,0,0,0,0,3,1,0,0,1,0,0,0
6317,1,0,1,2,2,1,0,0,2,1,1,1
89778,4,0,1,0,0,1,0,3,0,0,2,2
8710,2,0,0,0,0,5,7,0,2,1,4,1
5055,0,0,0,5,1,6,2,6,4,0,2,4
5273,1,0,2,0,2,5,0,0,2,2,2,1
284293,0,0,1,0,0,0,0,0,0,0,0,0
5271,1749,340,231,1072,950,1181,1063,345,1791,757,808,911
221241,0,1,0,1,0,0,1,0,0,4,1,1
284294,3,1,1,1,2,2,0,2,3,0,0,6
400654,0,1,1,0,0,0,0,0,0,0,0,0
1005,2,5,1,4,11,3,3,2,2,0,3,0
28513,10,2,5,3,5,5,0,3,3,8,0,7
100847002,0,0,0,0,0,0,0,0,0,0,0,0
